Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
58717,30964,0,27753,0,1.0,0.0,Empowerment of young people,bosnia-herzegovina,2018,Bosnia and Herzegovina
333164,167021,0,63091,103051,0.06,0.94,Gender equality and empowerment of women and girls,bosnia-herzegovina,2018,Bosnia and Herzegovina
145665,141034,0,4632,0,1.0,0.0,Population and development,bosnia-herzegovina,2018,Bosnia and Herzegovina
445988,353773,0,92215,0,1.0,0.0,Utilization of sexual and reproductive health services,bosnia-herzegovina,2018,Bosnia and Herzegovina
470218,441763,0,28455,0,0.66,0.34,Empowerment of young people,botswana,2018,Botswana
14938,14938,0,0,0,0.33,0.67,Population and development,botswana,2018,Botswana
582807,582807,0,0,0,0.45,0.55,Utilization of sexual and reproductive health services,botswana,2018,Botswana
476403,476403,0,0,0,0.55,0.45,Empowerment of young people,brazil,2018,Brazil
400631,371509,0,29122,0,0.86,0.14,Gender equality and empowerment of women and girls,brazil,2018,Brazil
534430,534430,0,0,0,0.51,0.49,Population and development,brazil,2018,Brazil
871433,871433,0,0,0,0.84,0.16,Utilization of sexual and reproductive health services,brazil,2018,Brazil
964426,421913,131374,411139,0,0.09,0.91,Empowerment of young people,burkina-faso,2018,Burkina Faso
528025,160770,198650,168604,0,0.12,0.88,Gender equality and empowerment of women and girls,burkina-faso,2018,Burkina Faso
132,0,132,0,0,1.0,0.0,Organizational effectiveness and efficiency,burkina-faso,2018,Burkina Faso
517119,134647,382472,0,0,0.05,0.95,Population and development,burkina-faso,2018,Burkina Faso
5267722,2389502,2179960,585520,112741,0.39,0.61,Utilization of sexual and reproductive health services,burkina-faso,2018,Burkina Faso
1796989,1129791,0,667199,0,0.26,0.74,Empowerment of young people,burundi,2018,Burundi
463247,360670,49730,52848,0,0.35,0.65,Gender equality and empowerment of women and girls,burundi,2018,Burundi
36081,36081,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,burundi,2018,Burundi
142755,142755,0,0,0,1.0,0.0,Population and development,burundi,2018,Burundi
2238132,1381893,647889,208350,0,0.36,0.64,Utilization of sexual and reproductive health services,burundi,2018,Burundi
568311,522000,0,0,46311,0.92,0.08,Utilization of sexual and reproductive health services,cabo-verde,2018,Cabo Verde
133263,110311,22952,0,0,1.0,0.0,Empowerment of young people,cambodia,2018,Cambodia
164729,104255,60475,0,0,0.96,0.04,Gender equality and empowerment of women and girls,cambodia,2018,Cambodia
234006,161268,72738,0,0,1.0,0.0,Population and development,cambodia,2018,Cambodia
1111028,640081,470947,0,0,0.98,0.02,Utilization of sexual and reproductive health services,cambodia,2018,Cambodia
527957,392332,103052,32573,0,0.23,0.77,Empowerment of young people,cameroon,2018,Cameroon
538328,497456,40872,0,0,0.55,0.45,Gender equality and empowerment of women and girls,cameroon,2018,Cameroon
363057,144455,218602,0,0,1.0,-0.0,Population and development,cameroon,2018,Cameroon
6318947,5011184,962484,345279,0,0.3,0.7,Utilization of sexual and reproductive health services,cameroon,2018,Cameroon
592459,390211,371,180214,21663,0.38,0.62,Empowerment of young people,central-african-republic,2018,Central African Republic
1676049,1090854,29570,555626,0,0.1,0.9,Gender equality and empowerment of women and girls,central-african-republic,2018,Central African Republic
80611,15536,21024,0,44050,0.99,0.01,Population and development,central-african-republic,2018,Central African Republic
1851521,1664197,41871,145453,0,0.44,0.56,Utilization of sexual and reproductive health services,central-african-republic,2018,Central African Republic
637942,269124,0,368818,0,0.46,0.54,Empowerment of young people,chad,2018,Chad
1648073,1107938,36930,503204,0,0.51,0.49,Gender equality and empowerment of women and girls,chad,2018,Chad
215955,173472,42484,0,0,0.52,0.48,Population and development,chad,2018,Chad
4876158,3789541,318509,768108,0,0.31,0.69,Utilization of sexual and reproductive health services,chad,2018,Chad
2787,2787,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,chile,2018,Chile
6000,6000,0,0,0,1.0,0.0,Population and development,chile,2018,Chile
158851,158851,0,0,0,1.0,0.0,Utilization of sexual and reproductive health services,chile,2018,Chile
316719,316719,0,0,0,1.0,0.0,Empowerment of young people,china,2018,China
263561,173721,85063,4776,0,0.14,0.86,Gender equality and empowerment of women and girls,china,2018,China
406035,369459,36576,0,0,1.0,0.0,Population and development,china,2018,China
705537,624204,52147,29186,0,1.0,0.97,Utilization of sexual and reproductive health services,china,2018,China
102244,102244,0,0,0,0.77,0.23,Empowerment of young people,colombia,2018,Colombia
319091,319091,0,0,0,0.57,0.43,Gender equality and empowerment of women and girls,colombia,2018,Colombia
275606,275606,0,0,0,1.0,0.0,Population and development,colombia,2018,Colombia
1000963,856734,0,144229,0,0.46,0.54,Utilization of sexual and reproductive health services,colombia,2018,Colombia
13522,7467,6055,0,0,0.17,0.83,Empowerment of young people,comoros,2018,Comoros
52318,34882,17436,0,0,0.8,0.2,Gender equality and empowerment of women and girls,comoros,2018,Comoros
21612,21612,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,comoros,2018,Comoros
287242,252580,34662,0,0,1.0,0.0,Population and development,comoros,2018,Comoros
357298,300753,56545,0,0,0.98,0.02,Utilization of sexual and reproductive health services,comoros,2018,Comoros
206028,184180,21848,0,0,0.76,0.24,Empowerment of young people,congo,2018,Congo
266751,184616,60936,21198,0,0.02,0.98,Gender equality and empowerment of women and girls,congo,2018,Congo
12076,12076,0,0,0,0.36,0.64,Organizational effectiveness and efficiency,congo,2018,Congo
444798,402309,42490,0,0,0.85,0.15,Population and development,congo,2018,Congo
863407,749272,29046,85090,0,0.51,0.49,Utilization of sexual and reproductive health services,congo,2018,Congo
73440,62326,0,11114,0,0.78,0.22,Gender equality and empowerment of women and girls,costa-rica,2018,Costa Rica
67793,67793,0,0,0,0.98,0.02,Population and development,costa-rica,2018,Costa Rica
286917,286917,0,0,0,0.98,0.02,Utilization of sexual and reproductive health services,costa-rica,2018,Costa Rica
705358,529488,123731,52139,0,0.57,0.43,Empowerment of young people,côte-divoire,2018,Côte d'Ivoire
1204310,1087491,96479,20341,0,0.62,0.38,Gender equality and empowerment of women and girls,côte-divoire,2018,Côte d'Ivoire
89800,87436,0,2364,0,0.6,0.4,Organizational effectiveness and efficiency,côte-divoire,2018,Côte d'Ivoire
341636,309076,32560,0,0,0.46,0.54,Population and development,côte-divoire,2018,Côte d'Ivoire
3775942,2816674,633614,325654,0,0.33,0.67,Utilization of sexual and reproductive health services,côte-divoire,2018,Côte d'Ivoire
57463,30142,27321,0,0,0.49,0.51,Empowerment of young people,cuba,2018,Cuba
92517,47511,30117,14888,0,0.64,0.36,Gender equality and empowerment of women and girls,cuba,2018,Cuba
113155,58723,39606,14826,0,0.87,0.13,Population and development,cuba,2018,Cuba
643622,614735,28887,0,0,0.36,0.64,Utilization of sexual and reproductive health services,cuba,2018,Cuba
1842448,537099,613782,691568,0,0.05,0.95,Empowerment of young people,democratic-republic-congo,2018,Democratic Republic of the Congo
4003432,1592047,437863,1973523,0,0.02,0.98,Gender equality and empowerment of women and girls,democratic-republic-congo,2018,Democratic Republic of the Congo
465603,243984,218219,3400,0,0.09,0.91,Population and development,democratic-republic-congo,2018,Democratic Republic of the Congo
14500577,10688464,1733312,2078801,0,0.39,0.61,Utilization of sexual and reproductive health services,democratic-republic-congo,2018,Democratic Republic of the Congo
123156,97605,0,25551,0,0.71,0.29,Empowerment of young people,djibouti,2018,Djibouti
343335,144928,152568,45838,0,0.61,0.39,Gender equality and empowerment of women and girls,djibouti,2018,Djibouti
49,49,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,djibouti,2018,Djibouti
146255,131379,14876,0,0,0.74,0.26,Population and development,djibouti,2018,Djibouti
171689,92537,63766,15386,0,0.64,0.36,Utilization of sexual and reproductive health services,djibouti,2018,Djibouti
95560,95560,0,0,0,1.0,0.0,Empowerment of young people,dominican-republic,2018,Dominican Republic
91532,91532,0,0,0,1.0,0.0,Gender equality and empowerment of women and girls,dominican-republic,2018,Dominican Republic
379913,379913,0,0,0,0.24,0.76,Population and development,dominican-republic,2018,Dominican Republic
455993,455993,0,0,0,0.72,0.28,Utilization of sexual and reproductive health services,dominican-republic,2018,Dominican Republic
212839,212839,0,0,0,0.78,0.22,Empowerment of young people,ecuador,2018,Ecuador
321539,321539,0,0,0,0.89,0.11,Gender equality and empowerment of women and girls,ecuador,2018,Ecuador
4279,4279,0,0,0,1.0,0.0,Population and development,ecuador,2018,Ecuador
462628,462628,0,0,0,0.9,0.1,Utilization of sexual and reproductive health services,ecuador,2018,Ecuador
1753788,1318799,269709,165279,0,0.14,0.86,Empowerment of young people,egypt,2018,Egypt
2847505,1113222,752663,938397,43223,0.05,0.95,Gender equality and empowerment of women and girls,egypt,2018,Egypt
23645,29668,0,0,0,-0.15,1.15,Population and development,egypt,2018,Egypt
2279729,1446041,759061,74627,0,0.33,0.67,Utilization of sexual and reproductive health services,egypt,2018,Egypt
276059,276059,0,0,0,0.67,0.33,Empowerment of young people,el-salvador,2018,El Salvador
187788,187788,0,0,0,0.94,0.06,Gender equality and empowerment of women and girls,el-salvador,2018,El Salvador
261108,261108,0,0,0,0.55,0.45,Population and development,el-salvador,2018,El Salvador
884427,884427,0,0,0,0.34,0.66,Utilization of sexual and reproductive health services,el-salvador,2018,El Salvador
619697,590934,28763,0,0,0.78,0.22,Empowerment of young people,equatorial-guinea,2018,Equatorial Guinea
43683,43683,0,0,0,1.0,0.0,Gender equality and empowerment of women and girls,equatorial-guinea,2018,Equatorial Guinea
17835,17835,0,0,0,0.0,1.0,Organizational effectiveness and efficiency,equatorial-guinea,2018,Equatorial Guinea
1665414,1665414,0,0,0,0.0,1.0,Utilization of sexual and reproductive health services,equatorial-guinea,2018,Equatorial Guinea
46297,46297,0,0,0,1.0,0.0,Empowerment of young people,eritrea,2018,Eritrea
67356,41023,0,26333,0,1.0,0.0,Gender equality and empowerment of women and girls,eritrea,2018,Eritrea
21221,21221,0,0,0,1.0,0.0,Population and development,eritrea,2018,Eritrea
1297078,827773,469305,0,0,0.62,0.38,Utilization of sexual and reproductive health services,eritrea,2018,Eritrea
250361,202849,0,47512,0,0.28,0.72,Empowerment of young people,eswatini,2018,Eswatini
136403,94397,0,42006,0,0.82,0.18,Gender equality and empowerment of women and girls,eswatini,2018,Eswatini
241864,241864,0,0,0,0.87,0.13,Population and development,eswatini,2018,Eswatini
517868,368391,0,149477,0,0.5,0.5,Utilization of sexual and reproductive health services,eswatini,2018,Eswatini
622454,304768,237077,80609,0,0.45,0.55,Empowerment of young people,ethiopia,2018,Ethiopia
4265372,1690852,1088894,1485626,0,0.09,0.91,Gender equality and empowerment of women and girls,ethiopia,2018,Ethiopia
2646633,2209778,436855,0,0,0.27,0.73,Population and development,ethiopia,2018,Ethiopia
7700004,3925462,2878381,896161,0,0.36,0.64,Utilization of sexual and reproductive health services,ethiopia,2018,Ethiopia
173024,103521,0,69504,0,0.81,0.19,Empowerment of young people,gabon,2018,Gabon
83055,74609,0,9233,0,0.79,0.21,Gender equality and empowerment of women and girls,gabon,2018,Gabon
6077,6077,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,gabon,2018,Gabon
126012,49640,76371,0,0,0.92,0.08,Population and development,gabon,2018,Gabon
192720,3244,189475,0,0,0.88,0.12,Utilization of sexual and reproductive health services,gabon,2018,Gabon
325638,244059,72814,8765,0,0.7,0.3,Empowerment of young people,gambia,2018,Gambia
55187,45047,10138,3,0,0.92,0.08,Gender equality and empowerment of women and girls,gambia,2018,Gambia
52251,36600,15650,0,0,1.0,0.0,Population and development,gambia,2018,Gambia
844951,533248,209213,102490,0,0.69,0.31,Utilization of sexual and reproductive health services,gambia,2018,Gambia
54449,54449,0,0,0,0.12,0.88,Empowerment of young people,georgia,2018,Georgia
534600,265672,81269,187658,0,0.08,0.92,Gender equality and empowerment of women and girls,georgia,2018,Georgia
58172,58172,0,0,0,0.87,0.13,Population and development,georgia,2018,Georgia
604987,318702,50000,153687,82598,0.82,0.18,Utilization of sexual and reproductive health services,georgia,2018,Georgia
827855,631180,94765,101910,0,0.46,0.54,Empowerment of young people,ghana,2018,Ghana
392074,236945,116370,38760,0,0.34,0.66,Gender equality and empowerment of women and girls,ghana,2018,Ghana
86812,86812,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,ghana,2018,Ghana
305716,213840,0,91876,0,1.0,0.0,Population and development,ghana,2018,Ghana
2429593,2259605,170010,0,0,0.55,0.45,Utilization of sexual and reproductive health services,ghana,2018,Ghana
558063,292817,26697,238549,0,0.26,0.74,Empowerment of young people,guatemala,2018,Guatemala
895757,399130,148546,128747,219333,0.34,0.66,Gender equality and empowerment of women and girls,guatemala,2018,Guatemala
31755518,31641508,45073,39053,29884,0.01,0.99,Population and development,guatemala,2018,Guatemala
2902673,2866918,0,35755,0,0.19,0.81,Utilization of sexual and reproductive health services,guatemala,2018,Guatemala
1162329,477655,684674,0,0,0.28,0.72,Empowerment of young people,guinea,2018,Guinea
641694,169810,471884,0,0,0.47,0.53,Gender equality and empowerment of women and girls,guinea,2018,Guinea
-833,0,0,0,0,0.0,0.0,Population and development,guinea,2018,Guinea
4715279,3453993,1261286,0,0,0.35,0.65,Utilization of sexual and reproductive health services,guinea,2018,Guinea
87049,73116,13933,0,0,0.93,0.07,Empowerment of young people,guinea-bissau,2018,Guinea-Bissau
63909,59800,4109,0,0,1.0,-0.0,Gender equality and empowerment of women and girls,guinea-bissau,2018,Guinea-Bissau
104053,104053,0,0,0,1.0,-0.0,Organizational effectiveness and efficiency,guinea-bissau,2018,Guinea-Bissau
158848,158848,0,0,0,1.0,-0.0,Population and development,guinea-bissau,2018,Guinea-Bissau
625592,555419,60318,9856,0,0.57,0.43,Utilization of sexual and reproductive health services,guinea-bissau,2018,Guinea-Bissau
664317,460979,0,203339,0,0.53,0.47,Empowerment of young people,haiti,2018,Haiti
388888,167526,53829,167533,0,0.6,0.4,Gender equality and empowerment of women and girls,haiti,2018,Haiti
84076,84076,0,0,0,1.0,-0.0,Organizational effectiveness and efficiency,haiti,2018,Haiti
6605450,5635477,969980,0,0,0.04,0.96,Population and development,haiti,2018,Haiti
4760942,3053477,918290,789175,0,0.25,0.75,Utilization of sexual and reproductive health services,haiti,2018,Haiti
2025248,1841809,183438,0,0,0.14,0.86,Empowerment of young people,honduras,2018,Honduras
271357,209782,0,61575,0,0.98,0.02,Gender equality and empowerment of women and girls,honduras,2018,Honduras
157543,76905,0,0,80638,0.95,0.05,Population and development,honduras,2018,Honduras
2465347,1009546,11436,585811,858553,0.08,0.92,Utilization of sexual and reproductive health services,honduras,2018,Honduras
3391185,1941248,154949,1294988,0,0.4,0.6,Empowerment of young people,india,2018,India
543557,273928,0,269630,0,0.35,0.65,Gender equality and empowerment of women and girls,india,2018,India
-2,0,0,0,0,0.0,0.0,Organizational effectiveness and efficiency,india,2018,India
603856,353161,80712,169984,0,0.74,0.26,Population and development,india,2018,India
2527882,1722297,101139,704446,0,0.85,0.15,Utilization of sexual and reproductive health services,india,2018,India
574913,319528,90430,164955,0,0.5,0.5,Empowerment of young people,indonesia,2018,Indonesia
702336,319041,237491,145804,0,0.64,0.36,Gender equality and empowerment of women and girls,indonesia,2018,Indonesia
35322,9339,25984,0,0,1.0,0.0,Organizational effectiveness and efficiency,indonesia,2018,Indonesia
713208,449639,263591,0,0,1.0,-0.0,Population and development,indonesia,2018,Indonesia
4344517,2063652,314961,1965904,0,0.29,0.71,Utilization of sexual and reproductive health services,indonesia,2018,Indonesia
534550,396189,138361,0,0,1.0,0.0,Population and development,iran,2018,Iran (Islamic Republic of)
656506,461696,194810,0,0,0.56,0.44,Utilization of sexual and reproductive health services,iran,2018,Iran (Islamic Republic of)
1368607,256310,0,1112297,0,0.1,0.9,Empowerment of young people,iraq,2018,Iraq
14994948,2452294,485129,12057526,0,0.01,0.99,Gender equality and empowerment of women and girls,iraq,2018,Iraq
526992,511620,0,15372,0,0.76,0.24,Population and development,iraq,2018,Iraq
20070812,8834742,0,11236070,0,0.03,0.97,Utilization of sexual and reproductive health services,iraq,2018,Iraq
1090483,317265,0,773218,0,0.06,0.94,Empowerment of young people,jordan,2018,Jordan
3591601,695846,0,2895470,285,0.03,0.97,Gender equality and empowerment of women and girls,jordan,2018,Jordan
27048,27048,0,0,0,0.02,0.98,Organizational effectiveness and efficiency,jordan,2018,Jordan
251844,197098,54746,0,0,1.0,0.0,Population and development,jordan,2018,Jordan
8786379,1895092,73086,6715200,103001,0.02,0.98,Utilization of sexual and reproductive health services,jordan,2018,Jordan
184391,99939,0,84451,0,0.65,0.35,Empowerment of young people,kazakhstan,2018,Kazakhstan
80911,53210,0,27701,0,0.71,0.29,Gender equality and empowerment of women and girls,kazakhstan,2018,Kazakhstan
157799,110535,28528,18736,0,0.87,0.13,Population and development,kazakhstan,2018,Kazakhstan
449013,326522,0,122491,0,0.63,0.37,Utilization of sexual and reproductive health services,kazakhstan,2018,Kazakhstan
317810,104791,58320,154698,0,0.34,0.66,Empowerment of young people,kenya,2018,Kenya
828344,425436,25171,377737,0,0.12,0.88,Gender equality and empowerment of women and girls,kenya,2018,Kenya
941,0,967,0,0,-0.03,1.03,Organizational effectiveness and efficiency,kenya,2018,Kenya
130097,106466,23631,0,0,0.82,0.18,Population and development,kenya,2018,Kenya
6800451,4160687,812682,1827082,0,0.39,0.61,Utilization of sexual and reproductive health services,kenya,2018,Kenya
263008,116895,0,146113,0,0.83,0.17,Empowerment of young people,kyrgyzstan,2018,Kyrgyzstan
691480,284433,0,407047,0,0.15,0.85,Gender equality and empowerment of women and girls,kyrgyzstan,2018,Kyrgyzstan
15716,15716,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,kyrgyzstan,2018,Kyrgyzstan
125949,73140,52808,0,0,0.39,0.61,Population and development,kyrgyzstan,2018,Kyrgyzstan
467614,297776,0,169838,0,0.8,0.2,Utilization of sexual and reproductive health services,kyrgyzstan,2018,Kyrgyzstan
698040,496017,113815,88208,0,0.63,0.37,Empowerment of young people,lao-peoples-democratic-republic,2018,Lao People's Democratic Republic
3222,3222,0,0,0,1.0,0.0,Gender equality and empowerment of women and girls,lao-peoples-democratic-republic,2018,Lao People's Democratic Republic
255832,155303,100529,0,0,1.0,0.0,Population and development,lao-peoples-democratic-republic,2018,Lao People's Democratic Republic
1911322,607958,1303364,0,0,0.24,0.76,Utilization of sexual and reproductive health services,lao-peoples-democratic-republic,2018,Lao People's Democratic Republic
260191,139022,0,121169,0,0.09,0.91,Empowerment of young people,lebanon,2018,Lebanon
3268590,959051,85583,2223956,0,0.04,0.96,Gender equality and empowerment of women and girls,lebanon,2018,Lebanon
125,125,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,lebanon,2018,Lebanon
347879,347879,0,0,0,0.96,0.04,Population and development,lebanon,2018,Lebanon
1382686,734298,0,648388,0,0.11,0.89,Utilization of sexual and reproductive health services,lebanon,2018,Lebanon
161349,116953,0,44396,0,0.3,0.7,Empowerment of young people,lesotho,2018,Lesotho
145274,140355,0,4919,0,0.97,0.03,Gender equality and empowerment of women and girls,lesotho,2018,Lesotho
2937,2937,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,lesotho,2018,Lesotho
45471,45471,0,0,0,0.98,0.02,Population and development,lesotho,2018,Lesotho
725475,579724,57600,88151,0,0.38,0.62,Utilization of sexual and reproductive health services,lesotho,2018,Lesotho
311523,140160,82144,89218,0,0.02,0.98,Empowerment of young people,liberia,2018,Liberia
482758,283811,198947,0,0,0.34,0.66,Gender equality and empowerment of women and girls,liberia,2018,Liberia
6813,0,6813,0,0,0.0,1.0,Organizational effectiveness and efficiency,liberia,2018,Liberia
460106,440009,20097,0,0,0.99,0.01,Population and development,liberia,2018,Liberia
5086829,2690008,736049,1660771,0,0.14,0.86,Utilization of sexual and reproductive health services,liberia,2018,Liberia
92324,92324,0,0,0,0.48,0.52,Empowerment of young people,libya,2018,Libya
1617867,111934,0,1505933,0,0.14,0.86,Gender equality and empowerment of women and girls,libya,2018,Libya
512742,252499,229518,30725,0,0.17,0.83,Population and development,libya,2018,Libya
1696513,1497139,92299,107075,0,0.6,0.4,Utilization of sexual and reproductive health services,libya,2018,Libya
504789,243857,234345,26586,0,0.67,0.33,Empowerment of young people,madagascar,2018,Madagascar
577259,210271,125619,241369,0,0.35,0.65,Gender equality and empowerment of women and girls,madagascar,2018,Madagascar
694621,431489,263132,0,0,0.99,0.01,Population and development,madagascar,2018,Madagascar
3420762,2303669,679526,437566,0,0.63,0.37,Utilization of sexual and reproductive health services,madagascar,2018,Madagascar
1101381,645414,254805,201162,0,0.18,0.82,Empowerment of young people,malawi,2018,Malawi
174228,100538,73691,0,0,0.8,0.2,Gender equality and empowerment of women and girls,malawi,2018,Malawi
48529,34919,13610,0,0,0.72,0.28,Organizational effectiveness and efficiency,malawi,2018,Malawi
4822369,2011622,2810747,0,0,0.08,0.92,Population and development,malawi,2018,Malawi
4510377,3359161,930464,218266,2487,0.3,0.7,Utilization of sexual and reproductive health services,malawi,2018,Malawi
32798,9432,20902,2464,0,1.0,0.0,Empowerment of young people,malaysia,2018,Malaysia
169407,102121,0,67285,0,0.88,0.12,Gender equality and empowerment of women and girls,malaysia,2018,Malaysia
79676,36565,43111,0,0,0.46,0.54,Population and development,malaysia,2018,Malaysia
424508,277938,24025,122544,0,0.49,0.51,Utilization of sexual and reproductive health services,malaysia,2018,Malaysia
81582,66097,0,15485,0,0.9,0.1,Empowerment of young people,maldives,2018,Maldives
11331,11331,0,0,0,1.0,0.0,Gender equality and empowerment of women and girls,maldives,2018,Maldives
84125,84125,0,0,0,0.42,0.58,Population and development,maldives,2018,Maldives
181538,176600,4938,0,0,1.0,0.0,Utilization of sexual and reproductive health services,maldives,2018,Maldives
462530,301863,138625,22042,0,0.38,0.62,Empowerment of young people,mali,2018,Mali
2274743,1151922,126141,731858,264823,0.22,0.78,Gender equality and empowerment of women and girls,mali,2018,Mali
1570322,1369001,201321,0,0,0.35,0.65,Population and development,mali,2018,Mali
5233038,3918307,224763,1089968,0,0.19,0.81,Utilization of sexual and reproductive health services,mali,2018,Mali
7822,0,7822,0,0,0.99,0.01,Empowerment of young people,mauritania,2018,Mauritania
117028,88771,13804,14452,0,1.0,0.0,Gender equality and empowerment of women and girls,mauritania,2018,Mauritania
47157,35413,11744,0,0,0.88,0.12,Organizational effectiveness and efficiency,mauritania,2018,Mauritania
336193,307962,28231,0,0,0.67,0.33,Population and development,mauritania,2018,Mauritania
1024277,757009,196680,70588,0,0.59,0.41,Utilization of sexual and reproductive health services,mauritania,2018,Mauritania
19778,0,19778,0,0,1.0,0.0,Empowerment of young people,mauritius,2018,Mauritius
13960,0,13960,0,0,1.0,0.0,Gender equality and empowerment of women and girls,mauritius,2018,Mauritius
26829,26829,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,mauritius,2018,Mauritius
23681,18024,5657,0,0,1.0,0.0,Population and development,mauritius,2018,Mauritius
18230,0,18230,0,0,1.0,0.0,Utilization of sexual and reproductive health services,mauritius,2018,Mauritius
602717,574696,16243,11778,0,0.45,0.55,Empowerment of young people,mexico,2018,Mexico
