Indicator Name,Indicator Description,Units of Measure,Name of Geography,Country,UN Standard Country or Area Code (M.49),UNFPA Region Name,Region View Code,Survey Year,Source Organization,Source Description,ld_ranking,Sex: Female
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2004,SDG,Sustainable Development Goals Global Database 2023,17,1114.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2003,SDG,Sustainable Development Goals Global Database 2023,18,1196.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2002,SDG,Sustainable Development Goals Global Database 2023,19,1277.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2001,SDG,Sustainable Development Goals Global Database 2023,20,1273.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2000,SDG,Sustainable Development Goals Global Database 2023,21,1346.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2020,SDG,Sustainable Development Goals Global Database 2023,1,8.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2019,SDG,Sustainable Development Goals Global Database 2023,2,5.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2018,SDG,Sustainable Development Goals Global Database 2023,3,5.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2017,SDG,Sustainable Development Goals Global Database 2023,4,6.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2016,SDG,Sustainable Development Goals Global Database 2023,5,6.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2015,SDG,Sustainable Development Goals Global Database 2023,6,6.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2014,SDG,Sustainable Development Goals Global Database 2023,7,7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2013,SDG,Sustainable Development Goals Global Database 2023,8,7.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2012,SDG,Sustainable Development Goals Global Database 2023,9,7.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2011,SDG,Sustainable Development Goals Global Database 2023,10,8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2010,SDG,Sustainable Development Goals Global Database 2023,11,8.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2009,SDG,Sustainable Development Goals Global Database 2023,12,9.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2008,SDG,Sustainable Development Goals Global Database 2023,13,9.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2007,SDG,Sustainable Development Goals Global Database 2023,14,10.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2006,SDG,Sustainable Development Goals Global Database 2023,15,10.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2005,SDG,Sustainable Development Goals Global Database 2023,16,10.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2004,SDG,Sustainable Development Goals Global Database 2023,17,10.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2003,SDG,Sustainable Development Goals Global Database 2023,18,12.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2002,SDG,Sustainable Development Goals Global Database 2023,19,12.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2001,SDG,Sustainable Development Goals Global Database 2023,20,12.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Albania,Albania,8,Eastern Europe and Central Asia,,2000,SDG,Sustainable Development Goals Global Database 2023,21,14.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2020,SDG,Sustainable Development Goals Global Database 2023,1,77.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2019,SDG,Sustainable Development Goals Global Database 2023,2,76.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2018,SDG,Sustainable Development Goals Global Database 2023,3,79.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2017,SDG,Sustainable Development Goals Global Database 2023,4,89.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2016,SDG,Sustainable Development Goals Global Database 2023,5,89
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2015,SDG,Sustainable Development Goals Global Database 2023,6,89.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2014,SDG,Sustainable Development Goals Global Database 2023,7,86.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2013,SDG,Sustainable Development Goals Global Database 2023,8,94.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2012,SDG,Sustainable Development Goals Global Database 2023,9,99.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2011,SDG,Sustainable Development Goals Global Database 2023,10,105.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2010,SDG,Sustainable Development Goals Global Database 2023,11,111.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2009,SDG,Sustainable Development Goals Global Database 2023,12,114.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2008,SDG,Sustainable Development Goals Global Database 2023,13,116.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2007,SDG,Sustainable Development Goals Global Database 2023,14,125.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2006,SDG,Sustainable Development Goals Global Database 2023,15,134.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2005,SDG,Sustainable Development Goals Global Database 2023,16,143.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2004,SDG,Sustainable Development Goals Global Database 2023,17,136.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2003,SDG,Sustainable Development Goals Global Database 2023,18,153
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2002,SDG,Sustainable Development Goals Global Database 2023,19,150.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2001,SDG,Sustainable Development Goals Global Database 2023,20,155.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Algeria,Algeria,12,Arab States,,2000,SDG,Sustainable Development Goals Global Database 2023,21,159.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2020,SDG,Sustainable Development Goals Global Database 2023,1,221.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2019,SDG,Sustainable Development Goals Global Database 2023,2,227.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2018,SDG,Sustainable Development Goals Global Database 2023,3,233.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2017,SDG,Sustainable Development Goals Global Database 2023,4,252.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2016,SDG,Sustainable Development Goals Global Database 2023,5,269.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2015,SDG,Sustainable Development Goals Global Database 2023,6,273.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2014,SDG,Sustainable Development Goals Global Database 2023,7,291.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2013,SDG,Sustainable Development Goals Global Database 2023,8,291.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2012,SDG,Sustainable Development Goals Global Database 2023,9,304
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2011,SDG,Sustainable Development Goals Global Database 2023,10,334.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2010,SDG,Sustainable Development Goals Global Database 2023,11,367.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2009,SDG,Sustainable Development Goals Global Database 2023,12,398.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2008,SDG,Sustainable Development Goals Global Database 2023,13,438.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2007,SDG,Sustainable Development Goals Global Database 2023,14,463
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2006,SDG,Sustainable Development Goals Global Database 2023,15,507.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2005,SDG,Sustainable Development Goals Global Database 2023,16,549.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2004,SDG,Sustainable Development Goals Global Database 2023,17,594.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2003,SDG,Sustainable Development Goals Global Database 2023,18,676.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2002,SDG,Sustainable Development Goals Global Database 2023,19,758.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2001,SDG,Sustainable Development Goals Global Database 2023,20,799.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Angola,Angola,24,East and Southern Africa,,2000,SDG,Sustainable Development Goals Global Database 2023,21,859.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2020,SDG,Sustainable Development Goals Global Database 2023,1,21.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2019,SDG,Sustainable Development Goals Global Database 2023,2,18.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2018,SDG,Sustainable Development Goals Global Database 2023,3,18.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2017,SDG,Sustainable Development Goals Global Database 2023,4,21.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2016,SDG,Sustainable Development Goals Global Database 2023,5,21.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2015,SDG,Sustainable Development Goals Global Database 2023,6,27.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2014,SDG,Sustainable Development Goals Global Database 2023,7,22.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2013,SDG,Sustainable Development Goals Global Database 2023,8,28.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2012,SDG,Sustainable Development Goals Global Database 2023,9,30.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2011,SDG,Sustainable Development Goals Global Database 2023,10,31.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2010,SDG,Sustainable Development Goals Global Database 2023,11,30.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2009,SDG,Sustainable Development Goals Global Database 2023,12,36.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2008,SDG,Sustainable Development Goals Global Database 2023,13,39.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2007,SDG,Sustainable Development Goals Global Database 2023,14,33.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2006,SDG,Sustainable Development Goals Global Database 2023,15,34.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2005,SDG,Sustainable Development Goals Global Database 2023,16,34
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2004,SDG,Sustainable Development Goals Global Database 2023,17,43.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2003,SDG,Sustainable Development Goals Global Database 2023,18,44.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2002,SDG,Sustainable Development Goals Global Database 2023,19,41.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2001,SDG,Sustainable Development Goals Global Database 2023,20,47.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Antigua and Barbuda,Antigua and Barbuda,28,Latin American and Caribbean,,2000,SDG,Sustainable Development Goals Global Database 2023,21,51.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2020,SDG,Sustainable Development Goals Global Database 2023,1,44.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2019,SDG,Sustainable Development Goals Global Database 2023,2,32.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2018,SDG,Sustainable Development Goals Global Database 2023,3,33.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2017,SDG,Sustainable Development Goals Global Database 2023,4,38.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2016,SDG,Sustainable Development Goals Global Database 2023,5,40.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2015,SDG,Sustainable Development Goals Global Database 2023,6,39.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2014,SDG,Sustainable Development Goals Global Database 2023,7,41.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2013,SDG,Sustainable Development Goals Global Database 2023,8,43.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2012,SDG,Sustainable Development Goals Global Database 2023,9,45
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2011,SDG,Sustainable Development Goals Global Database 2023,10,50.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2010,SDG,Sustainable Development Goals Global Database 2023,11,55.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2009,SDG,Sustainable Development Goals Global Database 2023,12,56.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2008,SDG,Sustainable Development Goals Global Database 2023,13,59.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2007,SDG,Sustainable Development Goals Global Database 2023,14,62.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2006,SDG,Sustainable Development Goals Global Database 2023,15,61.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2005,SDG,Sustainable Development Goals Global Database 2023,16,62.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2004,SDG,Sustainable Development Goals Global Database 2023,17,73.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2003,SDG,Sustainable Development Goals Global Database 2023,18,78.6
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2002,SDG,Sustainable Development Goals Global Database 2023,19,70.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2001,SDG,Sustainable Development Goals Global Database 2023,20,72.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Argentina,Argentina,32,Latin American and Caribbean,,2000,SDG,Sustainable Development Goals Global Database 2023,21,71.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2020,SDG,Sustainable Development Goals Global Database 2023,1,27.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2019,SDG,Sustainable Development Goals Global Database 2023,2,24.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2018,SDG,Sustainable Development Goals Global Database 2023,3,25.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2017,SDG,Sustainable Development Goals Global Database 2023,4,25
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2016,SDG,Sustainable Development Goals Global Database 2023,5,23.9
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2015,SDG,Sustainable Development Goals Global Database 2023,6,25.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2014,SDG,Sustainable Development Goals Global Database 2023,7,27.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2013,SDG,Sustainable Development Goals Global Database 2023,8,27.2
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2012,SDG,Sustainable Development Goals Global Database 2023,9,29.1
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2011,SDG,Sustainable Development Goals Global Database 2023,10,31.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Armenia,Armenia,51,Eastern Europe and Central Asia,,2010,SDG,Sustainable Development Goals Global Database 2023,11,33.2
